model,perturbation_method,split,originally_correct,broke_after_perturbation,failure_rate
distilbert-base-uncased-mnli,adjective_to_relative_clause,matched,3228,119,0.0369
distilbert-base-uncased-mnli,adjective_to_relative_clause,mismatched,3377,126,0.0373
distilbert-base-uncased-mnli,parenthetical_insertion,matched,5767,247,0.0428
distilbert-base-uncased-mnli,parenthetical_insertion,mismatched,5822,219,0.0376
distilbert-base-uncased-mnli,appositive_person_insertion,matched,1092,40,0.0366
distilbert-base-uncased-mnli,appositive_person_insertion,mismatched,868,28,0.0323
distilbart-mnli-12-6,adjective_to_relative_clause,matched,3553,76,0.0214
distilbart-mnli-12-6,adjective_to_relative_clause,mismatched,3697,69,0.0187
distilbart-mnli-12-6,parenthetical_insertion,matched,6320,98,0.0155
distilbart-mnli-12-6,parenthetical_insertion,mismatched,6339,105,0.0166
distilbart-mnli-12-6,appositive_person_insertion,matched,1222,14,0.0115
distilbart-mnli-12-6,appositive_person_insertion,mismatched,974,19,0.0195
gpt2-finetuned-mnli,adjective_to_relative_clause,matched,2574,166,0.0645
gpt2-finetuned-mnli,adjective_to_relative_clause,mismatched,2759,184,0.0667
gpt2-finetuned-mnli,parenthetical_insertion,matched,4703,271,0.0576
gpt2-finetuned-mnli,parenthetical_insertion,mismatched,4830,290,0.06
gpt2-finetuned-mnli,appositive_person_insertion,matched,843,28,0.0332
gpt2-finetuned-mnli,appositive_person_insertion,mismatched,692,19,0.0275
mobilebert-uncased-mnli,adjective_to_relative_clause,matched,3313,100,0.0302
mobilebert-uncased-mnli,adjective_to_relative_clause,mismatched,3442,127,0.0369
mobilebert-uncased-mnli,parenthetical_insertion,matched,5884,149,0.0253
mobilebert-uncased-mnli,parenthetical_insertion,mismatched,5933,170,0.0287
mobilebert-uncased-mnli,appositive_person_insertion,matched,1130,21,0.0186
mobilebert-uncased-mnli,appositive_person_insertion,mismatched,912,23,0.0252
